,text,cleaned,casefolding,stopword,normalisasi,stemming,tokenisasi
26,Rekonsiliasi ini akan menciptakan Indonesia yang kuat dan bersatu karena: Jokowi seorang yang didukung oleh mayoritas kelompok nasionalis bersatu dengan Prabowo yang didukung oleh mayoritas kelompok religius dan Islam. Total pemilih mereka 100%.  Insya Allah #Salam02Aklamasi ! https://t.co/yy8H0dAyIM,Rekonsiliasi ini akan menciptakan Indonesia yang kuat dan bersatu karena: Jokowi seorang yang didukung oleh mayoritas kelompok nasionalis bersatu dengan Prabowo yang didukung oleh mayoritas kelompok religius dan Islam. Total pemilih mereka %. Insya Allah !,rekonsiliasi ini akan menciptakan indonesia yang kuat dan bersatu karena: jokowi seorang yang didukung oleh mayoritas kelompok nasionalis bersatu dengan prabowo yang didukung oleh mayoritas kelompok religius dan islam. total pemilih mereka %. insya allah !,rekonsiliasi akan menciptakan indonesia kuat bersatu karena: jokowi seorang didukung mayoritas kelompok nasionalis bersatu prabowo didukung mayoritas kelompok religius islam. total pemilih %. insya allah !,rekonsiliasi akan menciptakan indonesia kuat bersatu karena : jokowi seorang didukung mayoritas kelompok nasionalis bersatu prabowo didukung mayoritas kelompok religius islam . total pemilih % . insya allah !,rekonsiliasi akan cipta indonesia kuat satu karena jokowi orang dukung mayoritas kelompok nasionalis satu prabowo dukung mayoritas kelompok religius islam total pilih insya allah,"['rekonsiliasi', 'akan', 'cipta', 'indonesia', 'kuat', 'satu', 'karena', 'jokowi', 'orang', 'dukung', 'mayoritas', 'kelompok', 'nasionalis', 'satu', 'prabowo', 'dukung', 'mayoritas', 'kelompok', 'religius', 'islam', 'total', 'pilih', 'insya', 'allah']"
27,DUA MENIT: Antara Prabowo dan Anies.  Anies dalam dua menit mempengaruhi PBB dan mendapat apresiasi Sekjen PBB. Asyiknya jika punya presiden seperti ini 😎 https://t.co/F9xjcJ7iNy,DUA MENIT: Antara Prabowo dan Anies. Anies dalam dua menit mempengaruhi PBB dan mendapat apresiasi Sekjen PBB. Asyiknya jika punya presiden seperti ini,dua menit: antara prabowo dan anies. anies dalam dua menit mempengaruhi pbb dan mendapat apresiasi sekjen pbb. asyiknya jika punya presiden seperti ini,menit: prabowo anies. anies dua menit mempengaruhi pbb mendapat apresiasi sekjen pbb. asyiknya punya presiden ini,menit : prabowo anies . anies dua menit mempengaruhi pbb mendapat apresiasi sekretaris jenderal pbb . asyiknya punya presiden ini,menit prabowo anies anies dua menit pengaruh pbb dapat apresiasi sekretaris jenderal pbb asyik punya presiden ini,"['menit', 'prabowo', 'anies', 'anies', 'dua', 'menit', 'pengaruh', 'pbb', 'dapat', 'apresiasi', 'sekretaris', 'jenderal', 'pbb', 'asyik', 'punya', 'presiden', 'ini']"
28,1. anies 2. prabowo 3. ganjar 4. hari lagi last show @Y_ChikaJKT48 😭,. anies . prabowo . ganjar . hari lagi last show,. anies . prabowo . ganjar . hari lagi last show,. anies . prabowo . ganjar . hari last show,. anies . prabowo . ganjar . hari last show,anies prabowo ganjar hari last show,"['anies', 'prabowo', 'ganjar', 'hari', 'last', 'show']"
29,Min.. Imin.. Di ketawain bu Khofifah tuh. Mosok hy karena bu Khofifah mendukung prabowo &amp  gk mau mendukung ente trs ente Ragukan ke-NU-an bu Khofifah.  Oalah Minn..min.. Dasar si Imin.!! 😂 #CakIminDislepetKhofifah @gadisberjilbabb https://t.co/MqoYXf7f19,Min.. Imin.. Di ketawain bu Khofifah tuh. Mosok hy karena bu Khofifah mendukung prabowo &amp gk mau mendukung ente trs ente Ragukan ke-NU-an bu Khofifah. Oalah Minn..min.. Dasar si Imin.!!,min.. imin.. di ketawain bu khofifah tuh. mosok hy karena bu khofifah mendukung prabowo &amp gk mau mendukung ente trs ente ragukan ke-nu-an bu khofifah. oalah minn..min.. dasar si imin.!!,min.. imin.. ketawain bu khofifah tuh. mosok hy bu khofifah mendukung prabowo &amp gk mau mendukung ente trs ente ragukan ke-nu-an bu khofifah. oalah minn..min.. dasar si imin.!!,admin .. imin .. mentertawakan bu khofifah itu . masa hanya bu khofifah mendukung prabowo & amp tidak mau mendukung kamu terus kamu ragukan ke-nu-an bu khofifah . walah minn .. admin .. dasar sih imin . ! !,admin imin tertawa bu khofifah itu masa hanya bu khofifah dukung prabowo amp tidak mau dukung kamu terus kamu ragu ke-nu-an bu khofifah walah minn admin dasar sih imin,"['admin', 'imin', 'tertawa', 'bu', 'khofifah', 'itu', 'masa', 'hanya', 'bu', 'khofifah', 'dukung', 'prabowo', 'amp', 'tidak', 'mau', 'dukung', 'kamu', 'terus', 'kamu', 'ragu', 'ke-nu-an', 'bu', 'khofifah', 'walah', 'minn', 'admin', 'dasar', 'sih', 'imin']"
30,"Rekam Jejak ....Jejak digital Saat Pak Anies dialog bersama Pemimpin Dunia Tanpa Pakai Teks....jadi Jelas ya Pak Anies bukan  OMON -OMON "" doang seperti yg di Katakan @prabowo https://t.co/DSMJ3dMIpz""","Rekam Jejak ....Jejak digital Saat Pak Anies dialog bersama Pemimpin Dunia Tanpa Pakai Teks....jadi Jelas ya Pak Anies bukan OMON -OMON "" doang seperti yg di Katakan ""","rekam jejak ....jejak digital saat pak anies dialog bersama pemimpin dunia tanpa pakai teks....jadi jelas ya pak anies bukan omon -omon "" doang seperti yg di katakan ""","rekam jejak ....jejak digital pak anies dialog bersama pemimpin dunia pakai teks....jadi jelas pak anies bukan omon -omon "" doang yg katakan ""","rekam jejak ... jejak digital pak anies dialog bersama pemimpin dunia pakai teks ... jadi jelas pak anies bukan omon - omon "" saja yang katakan """,rekam jejak jejak digital pak anies dialog sama pimpin dunia pakai teks jadi jelas pak anies bukan omon - omon saja yang kata,"['rekam', 'jejak', 'jejak', 'digital', 'pak', 'anies', 'dialog', 'sama', 'pimpin', 'dunia', 'pakai', 'teks', 'jadi', 'jelas', 'pak', 'anies', 'bukan', 'omon', '-', 'omon', 'saja', 'yang', 'kata']"
31,Calon presiden nomor urut 1 Anies Baswedan (@aniesbaswedan) mencurigai adanya rekayasa dalam Pemilihan Presiden 2024. Anies merespons Sekretaris Jenderal Partai Gerindra Ahmad Muzani (@MuzaniGerindra) yang menggaungkan satu putaran pilpres untuk kemenangan pasangan Prabowo… https://t.co/uFQEek1aWS,Calon presiden nomor urut Anies Baswedan () mencurigai adanya rekayasa dalam Pemilihan Presiden . Anies merespons Sekretaris Jenderal Partai Gerindra Ahmad Muzani () yang menggaungkan satu putaran pilpres untuk kemenangan pasangan Prabowo,calon presiden nomor urut anies baswedan () mencurigai adanya rekayasa dalam pemilihan presiden . anies merespons sekretaris jenderal partai gerindra ahmad muzani () yang menggaungkan satu putaran pilpres untuk kemenangan pasangan prabowo,calon presiden nomor urut anies baswedan () mencurigai adanya rekayasa pemilihan presiden . anies merespons sekretaris jenderal partai gerindra ahmad muzani () menggaungkan satu putaran pilpres kemenangan pasangan prabowo,calon presiden nomor urut anies baswedan ( ) mencurigai adanya rekayasa pemilihan presiden . anies merespons sekretaris jenderal partai gerindra ahmad muzani ( ) menggaungkan satu putaran pemilihan presiden kemenangan pasangan prabowo,calon presiden nomor urut anies baswedan curiga ada rekayasa pilih presiden anies respons sekretaris jenderal partai gerindra ahmad muzani gaung satu putar pilih presiden menang pasang prabowo,"['calon', 'presiden', 'nomor', 'urut', 'anies', 'baswedan', 'curiga', 'ada', 'rekayasa', 'pilih', 'presiden', 'anies', 'respons', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'gaung', 'satu', 'putar', 'pilih', 'presiden', 'menang', 'pasang', 'prabowo']"
32,"2024 yang jadi presiden pasti: Anies, Prabowo, dan Ganjar (sesuai no urut). Klo mau tegak lurus, tegak luruslah pd 3 orang ini. Terutama yg kau yakini menang. Jgn tegak lurus ke yg lain yg bukan presiden. Di kita, klo sdh tak jd penguasa, suka dilepehin.","yang jadi presiden pasti: Anies, Prabowo, dan Ganjar (sesuai no urut). Klo mau tegak lurus, tegak luruslah pd orang ini. Terutama yg kau yakini menang. Jgn tegak lurus ke yg lain yg bukan presiden. Di kita, klo sdh tak jd penguasa, suka dilepehin.","yang jadi presiden pasti: anies, prabowo, dan ganjar (sesuai no urut). klo mau tegak lurus, tegak luruslah pd orang ini. terutama yg kau yakini menang. jgn tegak lurus ke yg lain yg bukan presiden. di kita, klo sdh tak jd penguasa, suka dilepehin.","jadi presiden pasti: anies, prabowo, ganjar (sesuai no urut). klo mau tegak lurus, tegak luruslah pd orang ini. terutama yg kau yakini menang. jgn tegak lurus yg yg bukan presiden. kita, klo sdh tak jd penguasa, suka dilepehin.","jadi presiden pasti : anies , prabowo , ganjar ( sesuai nomor urut ) . kalau mau tegak lurus , tegak luruslah pada orang ini . terutama yang kamu yaitu menang . jangan tegak lurus yang yang bukan presiden . kita , kalau sudah tidak jadi penguasa , suka dilepehin .",jadi presiden pasti anies prabowo ganjar sesuai nomor urut kalau mau tegak lurus tegak lurus pada orang ini utama yang kamu yaitu menang jangan tegak lurus yang yang bukan presiden kita kalau sudah tidak jadi kuasa suka dilepehin,"['jadi', 'presiden', 'pasti', 'anies', 'prabowo', 'ganjar', 'sesuai', 'nomor', 'urut', 'kalau', 'mau', 'tegak', 'lurus', 'tegak', 'lurus', 'pada', 'orang', 'ini', 'utama', 'yang', 'kamu', 'yaitu', 'menang', 'jangan', 'tegak', 'lurus', 'yang', 'yang', 'bukan', 'presiden', 'kita', 'kalau', 'sudah', 'tidak', 'jadi', 'kuasa', 'suka', 'dilepehin']"
33,"@JJRizal Menurut gw sih prabowo ga berbohong, cuman emang dia kayanya gatau current events aja. Wkwkwk, which is probably worse than lying.","Menurut gw sih prabowo ga berbohong, cuman emang dia kayanya gatau current events aja. Wkwkwk, which is probably worse than lying.","menurut gw sih prabowo ga berbohong, cuman emang dia kayanya gatau current events aja. wkwkwk, which is probably worse than lying.","gw sih prabowo ga berbohong, cuman emang kayanya gatau current events aja. wkwkwk, which is probably worse than lying.","saya sih prabowo tidak berbohong , cuma memang kayaknya tidak tahu current events saja . wkwk , which is probably worse tahan lying .",saya sih prabowo tidak bohong cuma memang kayak tidak tahu current events saja wkwk which is probably worse tahan lying,"['saya', 'sih', 'prabowo', 'tidak', 'bohong', 'cuma', 'memang', 'kayak', 'tidak', 'tahu', 'current', 'events', 'saja', 'wkwk', 'which', 'is', 'probably', 'worse', 'tahan', 'lying']"
34,"Pasangan Anies-Muhaimin dan Ganjar Mahfud memang selalu tertinggal dari Prabowo-Gibran. Kedua pasangan itu baru bisa berjanji menghapus diskriminasi usia dalam persyaratan lowongan kerja, sementara Prabowo-Gibran sudah berhasil implementasi. :-)","Pasangan Anies-Muhaimin dan Ganjar Mahfud memang selalu tertinggal dari Prabowo-Gibran. Kedua pasangan itu baru bisa berjanji menghapus diskriminasi usia dalam persyaratan lowongan kerja, sementara Prabowo-Gibran sudah berhasil implementasi.","pasangan anies-muhaimin dan ganjar mahfud memang selalu tertinggal dari prabowo-gibran. kedua pasangan itu baru bisa berjanji menghapus diskriminasi usia dalam persyaratan lowongan kerja, sementara prabowo-gibran sudah berhasil implementasi.","pasangan anies-muhaimin ganjar mahfud memang selalu tertinggal prabowo-gibran. kedua pasangan baru berjanji menghapus diskriminasi usia persyaratan lowongan kerja, prabowo-gibran berhasil implementasi.","pasangan anies-muhaimin ganjar mahfud memang selalu tertinggal prabowo-gibran . kedua pasangan baru berjanji menghapus diskriminasi usia persyaratan lowongan kerja , prabowo-gibran berhasil implementasi .",pasang anies-muhaimin ganjar mahfud memang selalu tinggal prabowo-gibran dua pasang baru janji hapus diskriminasi usia syarat lowong kerja prabowo-gibran hasil implementasi,"['pasang', 'anies-muhaimin', 'ganjar', 'mahfud', 'memang', 'selalu', 'tinggal', 'prabowo-gibran', 'dua', 'pasang', 'baru', 'janji', 'hapus', 'diskriminasi', 'usia', 'syarat', 'lowong', 'kerja', 'prabowo-gibran', 'hasil', 'implementasi']"
35,"Karena bagi Ganjar, rakyat adalah tuannya, maka sebisa mungkin akan berusaha melayani dgn baik, beda dgn Prabowo dkk, ikut pilpres Krn hanya ingin menguasai rakyat. #GanjarMahfud2024   Ganjar capres yang punya adab dan attitude baik. Memberi sesuatu dengan ramah, tidak asal… https://t.co/IxlEpkOeZd","Karena bagi Ganjar, rakyat adalah tuannya, maka sebisa mungkin akan berusaha melayani dgn baik, beda dgn Prabowo dkk, ikut pilpres Krn hanya ingin menguasai rakyat. Ganjar capres yang punya adab dan attitude baik. Memberi sesuatu dengan ramah, tidak asal","karena bagi ganjar, rakyat adalah tuannya, maka sebisa mungkin akan berusaha melayani dgn baik, beda dgn prabowo dkk, ikut pilpres krn hanya ingin menguasai rakyat. ganjar capres yang punya adab dan attitude baik. memberi sesuatu dengan ramah, tidak asal","bagi ganjar, rakyat tuannya, sebisa mungkin berusaha melayani dgn baik, beda dgn prabowo dkk, ikut pilpres krn ingin menguasai rakyat. ganjar capres punya adab attitude baik. memberi dengan ramah, asal","bagi ganjar , rakyat tuannya , sebisa mungkin berusaha melayani dengan baik , beda dengan prabowo dan kawan-kawan , ikut pemilihan presiden karena ingin menguasai rakyat . ganjar calon presiden punya adab attitude baik . memberi dengan ramah , asal",bagi ganjar rakyat tuan bisa mungkin usaha layan dengan baik beda dengan prabowo dan kawan ikut pilih presiden karena ingin kuasa rakyat ganjar calon presiden punya adab attitude baik beri dengan ramah asal,"['bagi', 'ganjar', 'rakyat', 'tuan', 'bisa', 'mungkin', 'usaha', 'layan', 'dengan', 'baik', 'beda', 'dengan', 'prabowo', 'dan', 'kawan', 'ikut', 'pilih', 'presiden', 'karena', 'ingin', 'kuasa', 'rakyat', 'ganjar', 'calon', 'presiden', 'punya', 'adab', 'attitude', 'baik', 'beri', 'dengan', 'ramah', 'asal']"
36,@wyankapradana @sicengengelaaah @gibran_tweet @prabowo Wkwkwkw ngaco kata siapa ga pake duit rakyat? justru itu pake uang rakyat yang secara sukarela :),Wkwkwkw ngaco kata siapa ga pake duit rakyat? justru itu pake uang rakyat yang secara sukarela,wkwkwkw ngaco kata siapa ga pake duit rakyat? justru itu pake uang rakyat yang secara sukarela,wkwkwkw ngaco kata siapa ga pake duit rakyat? justru pake uang rakyat secara sukarela,wkwk kacau kata siapa tidak pakai uang rakyat ? justru pakai uang rakyat secara sukarela,wkwk kacau kata siapa tidak pakai uang rakyat justru pakai uang rakyat cara sukarela,"['wkwk', 'kacau', 'kata', 'siapa', 'tidak', 'pakai', 'uang', 'rakyat', 'justru', 'pakai', 'uang', 'rakyat', 'cara', 'sukarela']"
37,"Kegiatan PakAnies di Sorong, berdialog dg pedagang di pasar ikan jompu, berdialog dg warga jg anak2. Seperti kata pace ini : Anies lbh paham soal papua drpd prabowo yg pake cara2 militer di Timor Leste sedangkan Anies pake cara phsicology mengerti tentang orng2 Papua.."" https://t.co/mKmSbBzDSk""","Kegiatan PakAnies di Sorong, berdialog dg pedagang di pasar ikan jompu, berdialog dg warga jg anak. Seperti kata pace ini : Anies lbh paham soal papua drpd prabowo yg pake cara militer di Timor Leste sedangkan Anies pake cara phsicology mengerti tentang orng Papua.."" ""","kegiatan pakanies di sorong, berdialog dg pedagang di pasar ikan jompu, berdialog dg warga jg anak. seperti kata pace ini : anies lbh paham soal papua drpd prabowo yg pake cara militer di timor leste sedangkan anies pake cara phsicology mengerti tentang orng papua.."" ""","kegiatan pakanies sorong, berdialog dg pedagang pasar ikan jompu, berdialog dg warga jg anak. kata pace : anies lbh paham soal papua drpd prabowo yg pake cara militer timor leste anies pake cara phsicology mengerti orng papua.."" ""","kegiatan pakanies sorong , berdialog dengan pedagang pasar ikan jompu , berdialog dengan warga juga anak . kata pace : anies lebih paham soal papua dari pada prabowo yang pakai cara militer timor leste anies pakai cara phsicology mengerti orang papua .. "" """,giat pakanies sorong dialog dengan dagang pasar ikan jompu dialog dengan warga juga anak kata pace anies lebih paham soal papua dari pada prabowo yang pakai cara militer timor leste anies pakai cara phsicology erti orang papua,"['giat', 'pakanies', 'sorong', 'dialog', 'dengan', 'dagang', 'pasar', 'ikan', 'jompu', 'dialog', 'dengan', 'warga', 'juga', 'anak', 'kata', 'pace', 'anies', 'lebih', 'paham', 'soal', 'papua', 'dari', 'pada', 'prabowo', 'yang', 'pakai', 'cara', 'militer', 'timor', 'leste', 'anies', 'pakai', 'cara', 'phsicology', 'erti', 'orang', 'papua']"
38,Mahasiswa Jakarta Tantang Prabowo Berdialog Soal Pelanggaran HAM Masa Lalu https://t.co/ZEh8r9sWq8,Mahasiswa Jakarta Tantang Prabowo Berdialog Soal Pelanggaran HAM Masa Lalu,mahasiswa jakarta tantang prabowo berdialog soal pelanggaran ham masa lalu,mahasiswa jakarta tantang prabowo berdialog soal pelanggaran ham masa lalu,mahasiswa jakarta tantang prabowo berdialog soal pelanggaran ham masa lalu,mahasiswa jakarta tantang prabowo dialog soal langgar ham masa lalu,"['mahasiswa', 'jakarta', 'tantang', 'prabowo', 'dialog', 'soal', 'langgar', 'ham', 'masa', 'lalu']"
39,PRABOWO GIBRAN TOP SURVEI... MENANG SEKALI PUTARAN ✊🇮🇩  #Projo #Jokowi #Gibran #Prabowo https://t.co/lDD0FDJaPs,PRABOWO GIBRAN TOP SURVEI... MENANG SEKALI PUTARAN,prabowo gibran top survei... menang sekali putaran,prabowo gibran top survei... menang sekali putaran,prabowo gibran top survei ... menang sekali putaran,prabowo gibran top survei menang sekali putar,"['prabowo', 'gibran', 'top', 'survei', 'menang', 'sekali', 'putar']"
40,prabowo 1 putaran anies ganjar 2 putaran,prabowo putaran anies ganjar putaran,prabowo putaran anies ganjar putaran,prabowo putaran anies ganjar putaran,prabowo putaran anies ganjar putaran,prabowo putar anies ganjar putar,"['prabowo', 'putar', 'anies', 'ganjar', 'putar']"
41,"@wyankapradana @Muhamad56968091 @gibran_tweet @prabowo mahal dari duit haram kali tuh mah, duit kita2 mah halal mbak","mahal dari duit haram kali tuh mah, duit kita mah halal mbak","mahal dari duit haram kali tuh mah, duit kita mah halal mbak","mahal duit haram kali tuh mah, duit mah halal mbak","mahal uang haram kali itu adalah , uang adalah halal mbak",mahal uang haram kali itu adalah uang adalah halal mbak,"['mahal', 'uang', 'haram', 'kali', 'itu', 'adalah', 'uang', 'adalah', 'halal', 'mbak']"
42,"Ahok nahan diri ga ikut kampanye Ganjar karena masih punya jabatan komisaris Pertamina Perusahaan BUMN.  Tapi Eric Tohir menteri BUMN,  udah ga bisa nahan diri buat ga campaign Prabowo Gibran.  Respect ahok","Ahok nahan diri ga ikut kampanye Ganjar karena masih punya jabatan komisaris Pertamina Perusahaan BUMN. Tapi Eric Tohir menteri BUMN, udah ga bisa nahan diri buat ga campaign Prabowo Gibran. Respect ahok","ahok nahan diri ga ikut kampanye ganjar karena masih punya jabatan komisaris pertamina perusahaan bumn. tapi eric tohir menteri bumn, udah ga bisa nahan diri buat ga campaign prabowo gibran. respect ahok","ahok nahan diri ga ikut kampanye ganjar masih punya jabatan komisaris pertamina perusahaan bumn. eric tohir menteri bumn, udah ga nahan diri buat ga campaign prabowo gibran. respect ahok","ahok menahan diri tidak ikut kampanye ganjar masih punya jabatan komisaris pertamina perusahaan badan usaha milik negara . eric tohir menteri badan usaha milik negara , sudah tidak menahan diri buat tidak kampanye prabowo gibran . respect ahok",ahok tahan diri tidak ikut kampanye ganjar masih punya jabat komisaris pertamina usaha badan usaha milik negara eric tohir menteri badan usaha milik negara sudah tidak tahan diri buat tidak kampanye prabowo gibran respect ahok,"['ahok', 'tahan', 'diri', 'tidak', 'ikut', 'kampanye', 'ganjar', 'masih', 'punya', 'jabat', 'komisaris', 'pertamina', 'usaha', 'badan', 'usaha', 'milik', 'negara', 'eric', 'tohir', 'menteri', 'badan', 'usaha', 'milik', 'negara', 'sudah', 'tidak', 'tahan', 'diri', 'buat', 'tidak', 'kampanye', 'prabowo', 'gibran', 'respect', 'ahok']"
